,id,source,severity,distance(mi),description,street,city,county,state,zipcode,country,timezone,airport_code,temperature(f),wind_chill(f),humidity(%),pressure(in),visibility(mi),wind_direction,wind_speed(mph),weather_condition,amenity,bump,crossing,give_way,junction,no_exit,railway,roundabout,station,stop,traffic_calming,traffic_signal,turning_loop,sunrise_sunset,civil_twilight,nautical_twilight,astronomical_twilight,s_date,s_time,e_date,e_time,weather_time
10,A-11,Source2,3,0.01,Accident on I-270 Outerbelt Northbound at Exits 7 7A 7B US-40 Broad St. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,35.6,30.7,93.0,29.64,5.0,WNW,5.8,Rain,False,False,True,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,08:14:42,2016-02-08,08:44:42,07:50:00
11,A-12,Source2,3,0.01,One lane blocked due to accident on I-70 Westbound at Exits 110 110A 110B Brice Rd. Expect delays.,I-70 E,Reynoldsburg,Franklin,OH,43068,US,US/Eastern,KCMH,37.4,33.8,100.0,29.62,3.0,SSW,4.6,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,08:21:27,2016-02-08,08:51:27,08:28:00
12,A-13,Source2,2,0.0,Accident on Revere Ave at Watervliet Ave. Expect delays.,Watervliet Ave,Dayton,Montgomery,OH,45420-1863,US,US/Eastern,KFFO,33.8,23.36869565217391,100.0,29.63,3.0,SW,2.3,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,08:36:34,2016-02-08,09:06:34,08:28:00
13,A-14,Source2,2,0.01,Accident on Salem Ave at Hillcrest Ave / Kensington Dr. Expect delays.,Salem Ave,Dayton,Montgomery,OH,45406-2708,US,US/Eastern,KDAY,36.0,31.1,89.0,29.65,10.0,NW,5.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,08:37:07,2016-02-08,09:07:07,08:56:00
14,A-15,Source2,2,0.01,Accident on OH-16 Broad St at James Rd. Expect delays.,E Broad St,Columbus,Franklin,OH,43213-1006,US,US/Eastern,KCMH,37.4,33.8,100.0,29.62,3.0,SSW,4.6,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,08:39:43,2016-02-08,09:09:43,08:28:00
15,A-16,Source2,2,0.01,Accident on Wayne Ave at Glencoe Ave. Expect delays.,Glencoe Ave,Dayton,Montgomery,OH,45410-1721,US,US/Eastern,KFFO,33.8,23.36869565217391,100.0,29.63,3.0,SW,2.3,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,08:43:20,2016-02-08,09:13:20,08:28:00
16,A-17,Source2,2,0.01,Accident on James H McGee Blvd at US-35. Expect delays.,S James H McGee Blvd,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,35.6,23.36869565217391,99.0,29.65,7.0,WSW,2.3,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,08:53:17,2016-02-08,09:23:17,08:58:00
17,A-18,Source2,2,0.0,Accident on Delphos Ave at Brooklyn Ave. Expect delays.,Delphos Ave,Dayton,Montgomery,OH,45417-1727,US,US/Eastern,KDAY,36.0,31.1,89.0,29.65,10.0,NW,5.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,09:24:37,2016-02-08,09:54:37,08:56:00
18,A-19,Source2,2,0.01,Accident on Stewart St near Rubicon St. Expect delays.,Rubicon St,Dayton,Montgomery,OH,45409-2659,US,US/Eastern,KFFO,37.4,32.1,93.0,29.63,10.0,WSW,6.9,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,09:25:17,2016-02-08,09:55:17,09:38:00
19,A-20,Source2,2,0.01,Accident on Hillcrest Ave at Piccadilly Ave. Expect delays.,W Hillcrest Ave,Dayton,Montgomery,OH,45406-2640,US,US/Eastern,KDAY,36.0,30.3,89.0,29.65,10.0,West,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,09:35:35,2016-02-08,10:05:35,09:56:00
20,A-21,Source2,2,0.0,Accident on Brookhill Dr at Glenhurst Ct.,Brookhill Dr,Columbus,Franklin,OH,43230-1765,US,US/Eastern,KCMH,33.8,29.6,100.0,29.62,2.0,NNW,4.6,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,10:11:15,2016-02-08,10:41:15,10:14:00
21,A-22,Source2,2,0.0,Accident on Princeton Dr at Catalpa Dr. Expect delays.,Princeton Dr,Dayton,Montgomery,OH,45406-4736,US,US/Eastern,KDAY,36.0,30.3,89.0,29.65,10.0,West,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,10:24:27,2016-02-08,10:54:27,09:56:00
22,A-23,Source2,2,0.01,Accident on OH-741 Springboro Pike at Lyons Rd. Expect delays.,Springboro Pike,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,35.1,28.6,89.0,29.65,6.0,WSW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,11:53:19,2016-02-08,12:23:19,11:53:00
23,A-24,Source2,3,0.01,Accident on I-71 Northbound at Exit 113 Silver Dr. On exit ramp.,North Fwy S,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,37.0,32.4,96.0,29.63,8.0,West,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,12:00:00,2016-02-08,12:45:00,11:51:00
24,A-25,Source2,2,0.01,Accident on Hoover Ave at Elmhurst Rd.,Hoover Ave,Dayton,Montgomery,OH,45417-1117,US,US/Eastern,KDAY,37.9,30.9,76.0,29.62,10.0,WNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,12:16:44,2016-02-08,13:01:44,12:20:00
25,A-26,Source2,2,1.32,Accident on County Hwy-16 Sportsman Club Rd between Liberty Ridge Ct and Nichols Ln.,Sportsman Club Rd,Johnstown,Licking,OH,43031-9133,US,US/Eastern,KCMH,37.9,34.4,100.0,29.6,5.0,West,4.6,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,12:41:08,2016-02-08,13:11:08,12:51:00
26,A-27,Source2,2,0.0,Accident on Irving Ave at Wilmington Ave.,Irving Ave,Dayton,Montgomery,OH,45419-4148,US,US/Eastern,KMGY,36.0,29.0,86.0,29.63,7.0,West,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,12:52:05,2016-02-08,13:37:05,12:53:00
27,A-28,Source2,2,0.0,Accident on Helena St at OH-48 Main St.,W Helena St,Dayton,Montgomery,OH,45405-4326,US,US/Eastern,KDAY,39.9,32.9,70.0,29.61,10.0,WNW,11.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,14:24:48,2016-02-08,15:09:48,13:56:00
28,A-29,Source2,2,0.01,Accident on Salem Ave at Litchfield Ave.,Litchfield Ave,Dayton,Montgomery,OH,45406-2701,US,US/Eastern,KDAY,39.9,34.5,65.0,29.61,10.0,WNW,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,14:56:57,2016-02-08,15:41:57,14:56:00
29,A-30,Source2,2,0.0,Accident on 4th St at Wayne Ave.,E 4th St,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,39.2,35.9,75.0,29.62,10.0,NNE,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,15:26:14,2016-02-08,16:11:14,15:46:00
30,A-31,Source2,2,0.01,Accident on Frantz Rd Southbound at Bradenton Ave.,Frantz Rd,Dublin,Franklin,OH,43017-2552,US,US/Eastern,KOSU,37.0,31.6,89.0,29.61,10.0,West,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-08,16:16:08,2016-02-08,16:46:08,15:53:00
31,A-32,Source2,2,0.0,Accident on Powell Rd at Bellefontaine Rd. Approach with care.,Bellefontaine Rd,Dayton,Montgomery,OH,45424-4132,US,US/Eastern,KFFO,34.2,31.2,97.0,29.66,10.0,NW,3.5,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-08,17:39:24,2016-02-08,18:24:24,17:58:00
32,A-33,Source2,3,0.01,Left lane blocked due to accident on I-71 Southbound at Exit 115 Cooke Rd.,North Fwy S,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,33.8,28.6,100.0,29.62,6.0,South,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-08,18:24:00,2016-02-08,21:00:00,18:43:00
33,A-34,Source2,3,0.01,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 39 OH-16 Broad St.,Outerbelt N,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,34.0,23.36869565217391,100.0,29.65,6.0,Calm,9.841448058761804,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-08,19:28:00,2016-02-08,21:00:00,19:51:00
34,A-35,Source2,2,0.01,Accident on OH-315 Olentangy Fwy Eastbound at Cannon Dr.,Olentangy Fwy N,Columbus,Franklin,OH,43212,US,US/Eastern,KOSU,33.1,26.1,92.0,29.63,7.0,WNW,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-08,20:22:38,2016-02-08,21:07:38,20:27:00
35,A-36,Source2,2,1.09,Right lane blocked due to accident on OH-315 Olentangy Fwy Northbound between Cannon Dr and Lane Ave.,Olentangy Fwy S,Columbus,Franklin,OH,43210,US,US/Eastern,KOSU,33.1,25.5,92.0,29.63,9.0,WNW,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016-02-08,20:43:00,2016-02-08,23:00:00,20:39:00
36,A-37,Source2,2,0.01,Accident on OH-48 Main St at Fairground Ave. Expect delays.,S Main St,Dayton,Montgomery,OH,45409-2616,US,US/Eastern,KFFO,23.0,11.7,93.0,29.65,5.0,SW,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-09,04:28:48,2016-02-09,04:58:48,04:28:00
37,A-38,Source2,2,0.01,Accident on US-33 Columbus Lancaster Rd Eastbound at County Hwy-18 Diley Rd. Expect delays.,Diley Rd,Canal Winchester,Fairfield,OH,43110,US,US/Eastern,KLCK,23.0,11.7,93.0,29.63,2.5,WSW,11.5,Light Snow,False,False,False,False,True,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016-02-09,05:04:34,2016-02-09,05:34:34,04:55:00
38,A-39,Source2,2,0.01,Accident on Leo St at Kiser St. Expect delays.,Kiser St,Dayton,Montgomery,OH,45404-1672,US,US/Eastern,KFFO,22.8,11.5,89.0,29.69,4.0,SW,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-09,05:17:08,2016-02-09,05:47:08,04:58:00
39,A-40,Source2,3,0.01,Accident on I-670 Northeast Fwy Eastbound near I-270 Outerbelt Exits 35A 35B. Expect delays.,Stelzer Rd,Columbus,Franklin,OH,43219-3504,US,US/Eastern,KCMH,26.6,18.2,86.0,29.62,1.5,West,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-09,05:27:20,2016-02-09,05:57:20,05:27:00
40,A-41,Source2,2,0.0,Accident on Monroe Rd near Shaker Run Rd. Expect delays.,Monroe Rd,Lebanon,Warren,OH,45036,US,US/Eastern,KMGY,21.0,10.6,85.0,29.67,0.8,SW,9.2,Light Snow,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-09,05:40:57,2016-02-09,06:10:57,05:45:00
41,A-42,Source2,2,0.01,Accident on Stanley Ave at Kuntz Rd.,Air City Ave,Dayton,Montgomery,OH,45404-1255,US,US/Eastern,KFFO,23.0,12.4,86.0,29.71,3.0,SW,10.4,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016-02-09,05:47:16,2016-02-09,06:17:16,05:58:00
42,A-43,Source2,2,0.01,Accident on OH-72 State Route 72 Northbound at Point Isabel Rd.,S State Route 72,Sabina,Clinton,OH,45169,US,US/Eastern,KILN,19.9,6.7,89.0,29.75,1.8,WSW,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-09,05:56:10,2016-02-09,06:26:10,05:54:00
43,A-44,Source2,3,0.01,Accident on I-270 Outerbelt near Exit 39 OH-16 Broad St.,E Broad St,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,25.0,15.5,88.0,29.65,1.0,SW,9.2,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-09,06:06:45,2016-02-09,06:36:45,05:51:00
44,A-45,Source2,3,0.01,Accident on I-75 Northbound at Exit 59 Wyse Rd. Expect delays.,Benchwood Rd,Dayton,Montgomery,OH,45414,US,US/Eastern,KDAY,23.0,10.1,88.0,29.66,2.0,West,15.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2016-02-09,06:13:33,2016-02-09,06:43:33,06:03:00
45,A-46,Source2,3,0.01,Accident on I-70 Eastbound at Exit 102 Kelton Ave. Expect delays.,East Fwy W,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,25.0,15.5,88.0,29.65,1.0,SW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-09,06:12:49,2016-02-09,06:42:49,05:51:00
46,A-47,Source2,2,0.01,Accident on Kenny Rd at Henderson Rd. Expect delays.,Kenny Rd,Columbus,Franklin,OH,43220,US,US/Eastern,KOSU,26.1,15.0,84.0,29.63,2.0,West,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2016-02-09,06:21:50,2016-02-09,06:51:50,06:22:00
47,A-48,Source2,3,0.01,Right hand shoulder blocked due to accident on I-70 Westbound at Exits 107 107A 107B OH-317 Hamilton Rd.,S Hamilton Rd,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,24.8,16.1,86.0,29.64,1.0,SW,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-09,06:20:46,2016-02-09,06:50:46,06:36:00
48,A-49,Source2,2,0.01,Accident on Stanley Ave at OH-201 Brandt St. Expect delays.,Brandt St,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,23.0,11.7,86.0,29.68,4.0,SW,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2016-02-09,06:34:41,2016-02-09,07:04:41,06:51:00
49,A-50,Source2,3,0.01,Accident on I-75 Northbound at Exits 54A 54B OH-4. Expect delays.,I-75 S,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,23.0,11.7,86.0,29.68,4.0,SW,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-09,06:41:09,2016-02-09,07:11:09,06:51:00
50,A-51,Source2,2,0.01,Accident on OH-48 Main St at Burton Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405-4141,US,US/Eastern,KDAY,21.9,9.8,92.0,29.71,2.0,WSW,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-09,06:48:18,2016-02-09,07:18:18,06:56:00
51,A-52,Source2,2,0.01,Accident on Riverside Dr at Pointview Ave. Expect delays.,Riverside Dr,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,21.9,9.8,92.0,29.71,2.0,WSW,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-09,06:53:09,2016-02-09,07:23:09,06:56:00
52,A-53,Source2,3,0.01,Accident on I-75 Northbound at Exit 54B Grand Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,21.9,9.8,92.0,29.71,2.0,WSW,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-09,06:54:31,2016-02-09,07:24:31,06:56:00
53,A-54,Source2,3,0.01,Accident on I-70 Eastbound at Exits 93 93A 93B I-270 Outerbelt. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43204,US,US/Eastern,KTZR,21.2,8.3,93.0,29.66,1.5,WSW,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-09,07:03:20,2016-02-09,07:33:20,07:20:00
54,A-55,Source2,3,0.01,Accident on I-75 Southbound at Exit 44 OH-725 Miamisburg Centerville Rd. Expect delays.,Miamisburg Centerville Rd,Dayton,Montgomery,OH,45449,US,US/Eastern,KMGY,21.0,10.6,85.0,29.69,1.2,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-09,07:05:37,2016-02-09,07:35:37,07:12:00
55,A-56,Source2,2,0.01,Accident on OH-28 State Route 28 at Wood St. Expect delays.,Wood St,Goshen,Clermont,OH,45122,US,US/Eastern,KI69,21.0,10.6,93.0,29.73,2.5,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day,2016-02-09,07:04:58,2016-02-09,07:34:58,06:56:00
56,A-57,Source2,2,0.01,Accident on McCall St at Abbey Ave. Expect delays.,Dearborn Ave,Dayton,Montgomery,OH,45417-2002,US,US/Eastern,KDAY,21.9,9.8,92.0,29.68,2.0,WSW,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,2016-02-09,07:15:41,2016-02-09,07:45:41,07:08:00
57,A-58,Source2,2,0.01,Accident on Brown St at Fairground Ave. Expect delays.,Brown St,Dayton,Montgomery,OH,45409-2602,US,US/Eastern,KFFO,22.5,12.4,90.0,29.73,1.2,SW,9.2,Light Snow,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,07:41:01,2016-02-09,08:11:01,07:58:00
58,A-59,Source2,2,0.01,Accident on US-35 Eastbound at Steve Whalen Blvd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,22.5,12.4,90.0,29.73,1.2,SW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,07:42:43,2016-02-09,08:12:43,07:58:00
59,A-60,Source2,2,0.01,Accident on US-35 Eastbound at Smithville Rd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,22.5,12.4,90.0,29.73,1.2,SW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,07:42:11,2016-02-09,08:12:11,07:58:00
60,A-61,Source2,3,0.01,Accident on I-270 Outerbelt Southbound at Exit 26 I-71.,North Fwy S,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,24.8,16.1,86.0,29.65,1.8,West,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,07:46:41,2016-02-09,08:16:41,07:50:00
61,A-62,Source2,2,0.0,Accident on 5 Oaks Ave at Forest Ave. Expect delays.,5 Oaks Ave,Dayton,Montgomery,OH,45405-4432,US,US/Eastern,KDAY,21.2,8.9,93.0,29.69,2.0,West,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,07:54:44,2016-02-09,08:24:44,07:54:00
62,A-63,Source2,2,0.01,Accident on US-42 State Route 42 at Middletown Rd. Expect delays.,N State Route 42,Waynesville,Warren,OH,45068-9388,US,US/Eastern,KMGY,21.0,10.6,81.0,29.7,1.2,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:06:39,2016-02-09,08:36:39,08:14:00
63,A-64,Source2,2,0.01,Accident on County Hwy-119 Clearcreek Rd near Tamarack Trl. Expect delays.,Clearcreek Rd,Springboro,Warren,OH,45066-9716,US,US/Eastern,KMGY,21.0,10.6,81.0,29.7,1.2,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:12:44,2016-02-09,08:42:44,08:14:00
64,A-65,Source2,2,0.0,Accident on US-33 Columbus Lancaster Rd Westbound near County Hwy-20 Pickerington Rd. Expect delays.,Columbus Lancaster Rd NW,Carroll,Fairfield,OH,43112,US,US/Eastern,KLHQ,21.9,10.4,85.0,29.7,0.8,SW,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:10:20,2016-02-09,08:40:20,07:50:00
65,A-66,Source2,3,0.01,Accident on I-75 Southbound at I-675. Expect delays.,I-75 N,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,21.0,10.6,81.0,29.7,1.2,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:23:36,2016-02-09,08:53:36,08:14:00
66,A-67,Source2,3,0.01,Right hand shoulder blocked due to accident on I-71 Southbound at Exit 36 County Hwy-7 Wilmington Rd.,Wilmington Rd,Oregonia,Warren,OH,45054,US,US/Eastern,KMGY,21.0,10.6,81.0,29.7,1.2,WSW,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:24:29,2016-02-09,08:54:29,08:14:00
67,A-68,Source2,3,0.01,Accident on I-480 Westbound at Exit 20A-B I-77. Expect delays.,Outerbelt South Fwy W,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,32.0,22.5,82.0,29.58,10.0,WSW,12.7,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:20:30,2016-02-09,08:50:30,08:28:00
68,A-69,Source2,3,0.01,Accident on I-480 Eastbound at Exit 23 OH-14 Broadway Ave.,I-480 E,Maple Heights,Cuyahoga,OH,44137,US,US/Eastern,KBKL,32.0,22.5,82.0,29.58,10.0,WSW,12.7,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,08:35:53,2016-02-09,09:05:53,08:28:00
69,A-70,Source2,3,0.01,One lane blocked due to accident on I-270 Outerbelt Westbound at Exit 55 I-71.,I-71 S,Grove City,Franklin,OH,43123,US,US/Eastern,KTZR,21.2,9.5,93.0,29.69,5.0,WSW,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-09,10:06:46,2016-02-09,10:36:46,09:50:00
